Location,Year,Number,Population,Rate
Yarmouth,2017,11,"8,443",130.3
Boothbay,2017,4,"3,073",130.2
Boothbay,2018,4,"3,073",130.2
North Berwick,2012,6,"4,614",130.0
Durham,2010,5,"3,848",129.9
Skowhegan,2013,11,"8,471",129.9
Winterport,2017,5,"3,851",129.8
Hallowell,2016,3,"2,315",129.6
Hallowell,2017,3,"2,315",129.6
Hallowell,2018,3,"2,315",129.6
Gorham,2009,21,"16,225",129.4
Gray,2009,10,"7,737",129.2
Poland,2013,7,"5,419",129.2
Union,2008,3,"2,326",129.0
North Berwick,2016,6,"4,657",128.8
Leeds,2014,3,"2,337",128.4
Eliot,2011,8,"6,234",128.3
Oakland,2015,8,"6,244",128.1
Casco,2017,5,"3,909",127.9
Brunswick,2009,27,"21,141",127.7
Harpswell,2012,6,"4,697",127.7
Leeds,2011,3,"2,358",127.2
Livermore Falls,2018,4,"3,145",127.2
Leeds,2012,3,"2,362",127.0
Windham,2018,23,"18,120",126.9
Harpswell,2011,6,"4,737",126.7
Belgrade,2014,4,"3,183",125.7
Naples,2014,5,"3,980",125.6
Newport,2017,4,"3,184",125.6
North Berwick,2008,6,"4,778",125.6
Rockland,2017,9,"7,202",125.0
Brunswick,2016,26,"20,827",124.8
Berwick,2010,9,"7,246",124.2
Naples,2016,5,"4,040",123.8
Oxford,2017,5,"4,044",123.6
Wells,2016,12,"9,706",123.6
Augusta,2014,23,"18,641",123.4
Hancock,2014,3,"2,433",123.3
Cape Elizabeth,2012,11,"8,928",123.2
Jefferson,2013,3,"2,439",123.0
Hallowell,2008,3,"2,442",122.9
Hancock,2018,3,"2,447",122.6
Sabattus,2018,6,"4,895",122.6
Brunswick,2011,25,"20,410",122.5
Anson,2017,3,"2,451",122.4
Pittsfield,2017,5,"4,088",122.3
Arundel,2014,5,"4,100",122.0
Brunswick,2013,25,"20,500",122.0
Cumberland,2012,9,"7,376",122.0
Monmouth,2013,5,"4,097",122.0
Bucksport,2010,6,"4,924",121.9
Arundel,2018,5,"4,110",121.7
Cape Elizabeth,2013,11,"9,041",121.7
Cape Elizabeth,2018,11,"9,038",121.7
Gardiner,2012,7,"5,754",121.7
Sabattus,2012,6,"4,938",121.5
Cape Elizabeth,2015,11,"9,060",121.4
Belfast,2012,8,"6,598",121.2
Buxton,2014,10,"8,253",121.2
Jefferson,2009,3,"2,479",121.0
Acton,2011,3,"2,482",120.9
Monmouth,2011,5,"4,143",120.7
Camden,2009,6,"4,985",120.4
Berwick,2014,9,"7,500",120.0
Brewer,2016,11,"9,171",119.9
Bath,2014,10,"8,344",119.8
Bath,2013,10,"8,356",119.7
York,2015,15,"12,531",119.7
Norridgewock,2018,4,"3,351",119.4
Manchester,2016,3,"2,525",118.8
Manchester,2018,3,"2,525",118.8
Standish,2014,12,"10,104",118.8
Berwick,2015,9,"7,584",118.7
York,2013,15,"12,633",118.7
Orono,2017,12,"10,126",118.5
Winslow,2015,9,"7,595",118.5
Winslow,2017,9,"7,595",118.5
Paris,2014,6,"5,067",118.4
Sidney,2011,5,"4,238",118.0
Kennebunkport,2016,4,"3,408",117.4
Fryeburg,2013,4,"3,413",117.2
Paris,2017,6,"5,137",116.8
Winthrop,2012,7,"6,000",116.7
Manchester,2014,3,"2,574",116.6
Kennebunkport,2014,4,"3,448",116.0
Sidney,2018,5,"4,311",116.0
Clinton,2013,4,"3,450",115.9
Bath,2009,10,"8,634",115.8
Bridgton,2015,6,"5,181",115.8
Readfield,2012,3,"2,591",115.8
Bridgton,2013,6,"5,184",115.7
Litchfield,2008,4,"3,458",115.7
Readfield,2010,3,"2,598",115.5
Searsport,2014,3,"2,599",115.4
Bethel,2013,3,"2,609",115.0
Bridgton,2011,6,"5,217",115.0
Wells,2013,11,"9,574",114.9
China,2011,5,"4,356",114.8
Searsport,2010,3,"2,615",114.7
Waterboro,2013,9,"7,847",114.7
West Gardiner,2011,4,"3,488",114.7
Greene,2018,5,"4,365",114.5
Topsham,2014,10,"8,737",114.5
West Gardiner,2015,4,"3,500",114.3
Freeport,2010,9,"7,879",114.2
Greene,2011,5,"4,379",114.2
Freeport,2011,9,"7,888",114.1
Shapleigh,2009,3,"2,630",114.1
Wells,2012,11,"9,643",114.1
Bethel,2017,3,"2,636",113.8
Shapleigh,2008,3,"2,639",113.7
Minot,2017,3,"2,642",113.6
Lyman,2014,5,"4,408",113.4
Greene,2014,5,"4,432",112.8
China,2008,5,"4,438",112.7
Pittston,2011,3,"2,666",112.5
Buxton,2010,9,"8,034",112.0
Shapleigh,2011,3,"2,684",111.8
Chelsea,2013,3,"2,686",111.7
Lyman,2017,5,"4,478",111.7
Poland,2011,6,"5,381",111.5
Shapleigh,2014,3,"2,700",111.1
Oakland,2014,7,"6,305",111.0
Raymond,2016,5,"4,505",111.0
Standish,2009,11,"9,927",110.8
Benton,2013,3,"2,711",110.7
Raymond,2009,5,"4,526",110.5
Chelsea,2010,3,"2,721",110.3
Rockland,2012,8,"7,255",110.3
Harrison,2012,3,"2,730",109.9
Rockland,2009,8,"7,277",109.9
Waterboro,2018,9,"8,200",109.8
Westbrook,2017,20,"18,208",109.8
Limerick,2008,3,"2,738",109.6
Berwick,2009,8,"7,338",109.0
Gorham,2016,19,"17,431",109.0
Augusta,2018,20,"18,367",108.9
Bristol,2010,3,"2,755",108.9
Skowhegan,2017,9,"8,263",108.9
Orrington,2016,4,"3,677",108.8
Harrison,2014,3,"2,766",108.5
Bath,2016,9,"8,307",108.3
Wiscasset,2012,4,"3,705",108.0
Glenburn,2017,5,"4,644",107.7
Buxton,2017,9,"8,366",107.6
Buxton,2018,9,"8,366",107.6
Westbrook,2013,19,"17,687",107.4
Limerick,2009,3,"2,798",107.2
Harpswell,2013,5,"4,668",107.1
Searsport,2015,3,"2,817",106.5
South Berwick,2016,8,"7,511",106.5
South Berwick,2018,8,"7,511",106.5
Camden,2016,5,"4,701",106.4
Hermon,2017,6,"5,645",106.3
Dexter,2017,4,"3,773",106.0
Dexter,2018,4,"3,773",106.0
Belfast,2013,7,"6,616",105.8
Falmouth,2013,12,"11,365",105.6
Carmel,2017,3,"2,851",105.2
Standish,2016,11,"10,453",105.2
Gardiner,2011,6,"5,726",104.8
Madison,2013,5,"4,777",104.7
Waterville,2017,16,"15,324",104.4
Kennebunk,2018,11,"10,563",104.1
Wells,2015,10,"9,618",104.0
Durham,2009,4,"3,865",103.5
Gardiner,2015,6,"5,797",103.5
Jay,2013,5,"4,840",103.3
Turner,2013,6,"5,810",103.3
Turner,2018,6,"5,814",103.2
York,2016,13,"12,593",103.2
York,2017,13,"12,593",103.2
Kennebunk,2012,11,"10,683",103.0
Naples,2011,4,"3,882",103.0
Sabattus,2009,5,"4,865",102.8
Farmingdale,2013,3,"2,924",102.6
Alfred,2009,3,"2,931",102.4
Casco,2018,4,"3,909",102.3
Naples,2012,4,"3,909",102.3
Ellsworth,2014,8,"7,840",102.0
Gray,2011,8,"7,851",101.9
Gray,2012,8,"7,863",101.7
Limington,2015,4,"3,934",101.7
Ellsworth,2016,8,"7,886",101.4
Sabattus,2013,5,"4,935",101.3
Waterboro,2012,8,"7,900",101.3
Waterboro,2014,8,"7,897",101.3
Windham,2008,17,"16,846",100.9
Bucksport,2009,5,"4,967",100.7
Cape Elizabeth,2008,9,"8,984",100.2
Cape Elizabeth,2011,9,"8,980",100.2
Limerick,2014,3,"2,996",100.1
Lisbon,2013,9,"9,007",99.9
Bowdoin,2009,3,"3,006",99.8
Cape Elizabeth,2010,9,"9,015",99.8
Cape Elizabeth,2017,9,"9,038",99.6
Saint Albans,2015,2,"2,011",99.5
Winterport,2015,4,"4,019",99.5
Alfred,2010,3,"3,019",99.4
Buckfield,2012,2,"2,012",99.4
Cape Elizabeth,2009,9,"9,069",99.2
Arundel,2013,4,"4,048",98.8
Gorham,2015,17,"17,199",98.8
Buckfield,2011,2,"2,031",98.5
Winthrop,2010,6,"6,092",98.5
Alfred,2013,3,"3,049",98.4
Monmouth,2016,4,"4,067",98.4
Monmouth,2018,4,"4,067",98.4
Arundel,2012,4,"4,073",98.2
Albion,2013,2,"2,039",98.1
Holden,2012,3,"3,069",97.8
Holden,2014,3,"3,066",97.8
Oxford,2014,4,"4,091",97.8
Pittsfield,2018,4,"4,088",97.8
Woolwich,2018,3,"3,069",97.8
Woolwich,2010,3,"3,072",97.7
Albion,2012,2,"2,050",97.6
Boothbay,2016,3,"3,073",97.6
Waterboro,2017,8,"8,200",97.6
Monmouth,2010,4,"4,104",97.5
Mount Desert,2010,2,"2,053",97.4
Oxford,2012,4,"4,116",97.2
Rockland,2018,7,"7,202",97.2
Wilton,2009,4,"4,127",96.9
Boothbay Harbor,2015,2,"2,067",96.8
Falmouth,2017,11,"11,358",96.8
Yarmouth,2015,8,"8,293",96.5
Bath,2017,8,"8,307",96.3
Oxford,2009,4,"4,155",96.3
Lebanon,2014,6,"6,240",96.2
Rockland,2014,7,"7,283",96.1
Augusta,2009,18,"18,877",95.4
Livermore Falls,2017,3,"3,145",95.4
Augusta,2012,18,"18,879",95.3
Kittery,2011,9,"9,475",95.0
Berwick,2011,7,"7,373",94.9
Oakland,2011,6,"6,325",94.9
Oakland,2013,6,"6,323",94.9
Lebanon,2015,6,"6,327",94.8
Livermore Falls,2010,3,"3,187",94.1
Machias,2013,2,"2,142",93.4
Corinna,2017,2,"2,155",92.8
Corinna,2018,2,"2,155",92.8
Brunswick,2012,19,"20,541",92.5
Gray,2008,7,"7,573",92.4
Lincolnville,2010,2,"2,164",92.4
Lyman,2011,4,"4,336",92.3
Belgrade,2008,3,"3,272",91.7
Lincolnville,2013,2,"2,181",91.7
Greene,2017,4,"4,365",91.6
Lyman,2012,4,"4,373",91.5
Eddington,2015,2,"2,191",91.3
Eddington,2016,2,"2,195",91.1
Thomaston,2008,3,"3,293",91.1
Topsham,2010,8,"8,784",91.1
Winslow,2013,7,"7,690",91.0
China,2018,4,"4,411",90.7
Lyman,2013,4,"4,408",90.7
Phippsburg,2013,2,"2,205",90.7
Winslow,2012,7,"7,742",90.4
New Gloucester,2010,5,"5,542",90.2
Greene,2013,4,"4,439",90.1
Sanford,2017,19,"21,124",89.9
Sanford,2014,19,"21,206",89.6
Lyman,2016,4,"4,478",89.3
Lyman,2018,4,"4,478",89.3
Ellsworth,2013,7,"7,847",89.2
Canaan,2015,2,"2,244",89.1
Phippsburg,2017,2,"2,245",89.1
Phippsburg,2018,2,"2,245",89.1
Lisbon,2014,8,"8,989",89.0
Raymond,2018,4,"4,505",88.8
Canaan,2014,2,"2,256",88.7
Hermon,2018,5,"5,645",88.6
Cape Elizabeth,2016,8,"9,038",88.5
Union,2010,2,"2,259",88.5
Richmond,2013,3,"3,395",88.4
Richmond,2017,3,"3,395",88.4
Hallowell,2015,2,"2,268",88.2
Fryeburg,2014,3,"3,410",88.0
Kennebunkport,2017,3,"3,408",88.0
Richmond,2010,3,"3,411",88.0
Lyman,2015,4,"4,558",87.8
Westbrook,2009,15,"17,101",87.7
Richmond,2015,3,"3,430",87.5
Turner,2009,5,"5,714",87.5
North Berwick,2010,4,"4,576",87.4
York,2018,11,"12,593",87.4
Kennebunkport,2013,3,"3,445",87.1
Yarmouth,2008,7,"8,038",87.1
Brunswick,2015,18,"20,701",87.0
Leeds,2017,2,"2,298",87.0
Whitefield,2010,2,"2,300",87.0
Fryeburg,2011,3,"3,458",86.8
West Gardiner,2014,3,"3,459",86.7
Clinton,2014,3,"3,466",86.6
North Berwick,2009,4,"4,617",86.6
Brunswick,2018,18,"20,827",86.4
Clinton,2010,3,"3,486",86.1
Hollis,2008,4,"4,675",85.6
Whitefield,2018,2,"2,336",85.6
Buxton,2008,7,"8,188",85.5
Hallowell,2011,2,"2,353",85.0
Skowhegan,2016,7,"8,263",84.7
Camden,2011,4,"4,731",84.5
Clinton,2018,3,"3,551",84.5
Jay,2018,4,"4,735",84.5
Yarmouth,2011,7,"8,288",84.5
Litchfield,2009,3,"3,564",84.2
Hallowell,2010,2,"2,381",84.0
Harpswell,2014,4,"4,764",84.0
Warren,2008,4,"4,763",84.0
Saco,2008,15,"17,878",83.9
Kittery,2018,8,"9,563",83.7
Hallowell,2009,2,"2,414",82.9
Litchfield,2014,3,"3,637",82.5
Jefferson,2010,2,"2,427",82.4
Wells,2017,8,"9,706",82.4
Wells,2018,8,"9,706",82.4
Hampden,2018,6,"7,287",82.3
Bath,2010,7,"8,514",82.2
Hancock,2015,2,"2,432",82.2
Rockland,2010,6,"7,297",82.2
Sabattus,2016,4,"4,895",81.7
Dixfield,2017,2,"2,454",81.5
Orrington,2013,3,"3,680",81.5
Casco,2008,3,"3,684",81.4
Standish,2010,8,"9,874",81.0
Sabattus,2014,4,"4,949",80.8
Topsham,2011,7,"8,702",80.4
Norway,2016,4,"4,989",80.2
Biddeford,2008,17,"21,276",79.9
South Berwick,2017,6,"7,511",79.9
Winterport,2010,3,"3,757",79.9
Auburn,2017,18,"22,619",79.6
Augusta,2011,15,"18,859",79.5
Oakland,2017,5,"6,293",79.5
Winterport,2014,3,"3,784",79.3
Wiscasset,2017,3,"3,781",79.3
Wiscasset,2018,3,"3,781",79.3
Casco,2011,3,"3,791",79.1
Manchester,2008,2,"2,532",79.0
Winslow,2016,6,"7,595",79.0
Manchester,2015,2,"2,539",78.8
Jefferson,2008,2,"2,540",78.7
Dexter,2013,3,"3,833",78.3
Winslow,2014,6,"7,661",78.3
Berwick,2016,6,"7,677",78.2
Lisbon,2015,7,"8,947",78.2
Waterboro,2009,6,"7,668",78.2
Acton,2016,2,"2,562",78.1
Bath,2008,7,"8,967",78.1
Bar Harbor,2008,4,"5,126",78.0
Lebanon,2018,5,"6,414",78.0
Falmouth,2015,9,"11,555",77.9
Durham,2008,3,"3,856",77.8
Ellsworth,2012,6,"7,752",77.4
Standish,2015,8,"10,347",77.3
Manchester,2012,2,"2,589",77.2
Windsor,2017,2,"2,597",77.0
Brunswick,2017,16,"20,827",76.8
Winslow,2009,6,"7,809",76.8
Standish,2018,8,"10,453",76.5
Minot,2014,2,"2,626",76.2
Pittston,2013,2,"2,626",76.2
Belfast,2014,5,"6,566",76.1
Bridgton,2014,4,"5,263",76.0
Minot,2009,2,"2,632",76.0
Bethel,2018,2,"2,636",75.9
Fairfield,2018,5,"6,593",75.8
Kennebunk,2017,8,"10,563",75.7
Kennebunk,2013,8,"10,629",75.3
Pittston,2010,2,"2,666",75.0
Shapleigh,2010,2,"2,668",75.0
Auburn,2014,17,"22,757",74.7
Biddeford,2012,16,"21,407",74.7
Chelsea,2014,2,"2,677",74.7
Poland,2008,4,"5,353",74.7
Arundel,2010,3,"4,022",74.6
Mexico,2010,2,"2,681",74.6
Arundel,2011,3,"4,026",74.5
Pittston,2009,2,"2,688",74.4
Poland,2010,4,"5,376",74.4
Kennebunk,2011,8,"10,762",74.3
Scarborough,2008,14,"18,835",74.3
Blue Hill,2011,2,"2,694",74.2
Benton,2014,2,"2,704",74.0
Brunswick,2010,15,"20,278",74.0
Oxford,2015,3,"4,087",73.4
Poland,2015,4,"5,452",73.4
Harrison,2010,2,"2,730",73.3
Benton,2016,2,"2,731",73.2
Pittsfield,2015,3,"4,107",73.0
Wells,2010,7,"9,589",73.0
Benton,2011,2,"2,743",72.9
Oxford,2008,3,"4,113",72.9
Bristol,2008,2,"2,752",72.7
Harrison,2017,2,"2,751",72.7
Oxford,2011,3,"4,132",72.6
Scarborough,2014,14,"19,295",72.6
Hampden,2008,5,"6,914",72.3
Scarborough,2016,14,"19,393",72.2
Waterville,2018,11,"15,324",71.8
Sanford,2012,15,"20,914",71.7
Falmouth,2010,8,"11,185",71.5
New Gloucester,2009,4,"5,604",71.4
New Gloucester,2012,4,"5,609",71.3
Greene,2008,3,"4,227",71.0
Hermon,2016,4,"5,645",70.9
Carmel,2015,2,"2,823",70.8
Sidney,2012,3,"4,238",70.8
Carmel,2014,2,"2,830",70.7
Windham,2010,12,"17,001",70.6
Hollis,2010,3,"4,281",70.1
Corinth,2014,2,"2,869",69.7
Gardiner,2014,4,"5,743",69.7
Auburn,2011,16,"22,985",69.6
China,2010,3,"4,328",69.3
Rockland,2013,5,"7,225",69.2
Hampden,2015,5,"7,332",68.2
Saco,2018,13,"19,055",68.2
Levant,2016,2,"2,946",67.9
Farmingdale,2014,2,"2,948",67.8
Farmingdale,2012,2,"2,956",67.7
Topsham,2017,6,"8,870",67.6
Farmington,2017,5,"7,415",67.4
Farmingdale,2011,2,"2,976",67.2
Farmington,2015,5,"7,463",67.0
Standish,2017,7,"10,453",67.0
Bowdoin,2008,2,"2,993",66.8
Lisbon,2018,6,"8,993",66.7
Lisbon,2012,6,"9,016",66.5
Holden,2018,2,"3,012",66.4
Auburn,2018,15,"22,619",66.3
Kennebunk,2016,7,"10,563",66.3
Lebanon,2010,4,"6,031",66.3
Kennebunk,2015,7,"10,650",65.7
Alfred,2012,2,"3,053",65.5
Brewer,2017,6,"9,171",65.4
Augusta,2008,12,"18,400",65.2
Lebanon,2011,4,"6,131",65.2
Berwick,2017,5,"7,677",65.1
Berwick,2018,5,"7,677",65.1
Old Town,2014,5,"7,690",65.0
Alfred,2018,2,"3,081",64.9
Sanford,2008,14,"21,559",64.9
Biddeford,2014,14,"21,626",64.7
Boothbay,2014,2,"3,094",64.6
Milford,2016,2,"3,098",64.6
Harpswell,2015,3,"4,654",64.5
Farmington,2010,5,"7,760",64.4
North Berwick,2017,3,"4,657",64.4
Winslow,2011,5,"7,792",64.2
Brunswick,2008,14,"21,928",63.8
Oakland,2016,4,"6,293",63.6
Harpswell,2010,3,"4,740",63.3
Lewiston,2014,23,"36,308",63.3
Livermore Falls,2011,2,"3,178",62.9
Livermore Falls,2012,2,"3,178",62.9
Belgrade,2012,2,"3,193",62.6
Scarborough,2017,12,"19,393",61.9
Livermore Falls,2009,2,"3,254",61.5
Sanford,2018,13,"21,124",61.5
Paris,2008,3,"4,918",61.0
Biddeford,2011,13,"21,402",60.7
Fairfield,2016,4,"6,593",60.7
Skowhegan,2018,5,"8,263",60.5
Fairfield,2015,4,"6,621",60.4
Norridgewock,2015,2,"3,312",60.4
Skowhegan,2015,5,"8,318",60.1
Norway,2010,3,"5,014",59.8
Skowhegan,2014,5,"8,390",59.6
Norridgewock,2012,2,"3,360",59.5
Bath,2012,5,"8,415",59.4
Fryeburg,2009,2,"3,374",59.3
Orono,2016,6,"10,126",59.3
Bath,2011,5,"8,444",59.2
Fairfield,2009,4,"6,787",58.9
Paris,2012,3,"5,110",58.7
Fryeburg,2015,2,"3,417",58.5
Fryeburg,2016,2,"3,440",58.1
Fryeburg,2017,2,"3,440",58.1
Richmond,2008,2,"3,440",58.1
Bridgton,2012,3,"5,189",57.8
Sanford,2011,12,"20,787",57.7
West Gardiner,2010,2,"3,474",57.6
Auburn,2016,13,"22,619",57.5
Old Orchard Beach,2014,5,"8,697",57.5
Bridgton,2016,3,"5,222",57.4
Westbrook,2011,10,"17,468",57.2
Sanford,2015,12,"21,086",56.9
Clinton,2011,2,"3,520",56.8
Clinton,2015,2,"3,523",56.8
West Gardiner,2016,2,"3,521",56.8
Auburn,2009,13,"23,017",56.5
Biddeford,2010,12,"21,277",56.4
Lisbon,2011,5,"8,983",55.7
Poland,2009,3,"5,386",55.7
Biddeford,2013,12,"21,645",55.4
Poland,2018,3,"5,426",55.3
Litchfield,2015,2,"3,656",54.7
Litchfield,2012,2,"3,666",54.6
Brewer,2018,5,"9,171",54.5
Saco,2009,10,"18,343",54.5
Brewer,2015,5,"9,184",54.4
Hampden,2014,4,"7,409",54.0
Wiscasset,2014,2,"3,713",53.9
Wiscasset,2011,2,"3,720",53.8
Wiscasset,2010,2,"3,732",53.6
Saco,2011,10,"18,695",53.5
South Portland,2017,14,"26,288",53.3
Rumford,2014,3,"5,641",53.2
Dexter,2016,2,"3,773",53.0
Saco,2014,10,"18,950",52.8
Scarborough,2012,10,"18,947",52.8
Scarborough,2013,10,"18,938",52.8
Old Town,2015,4,"7,624",52.5
Sanford,2013,11,"20,944",52.5
Waterville,2016,8,"15,324",52.2
Naples,2010,2,"3,872",51.7
Farmington,2009,4,"7,754",51.6
Winslow,2008,4,"7,775",51.4
Waterville,2014,8,"15,628",51.2
South Portland,2013,13,"25,712",50.6
Waterboro,2015,4,"7,931",50.4
Westbrook,2014,9,"17,849",50.4
Saint Albans,2012,1,"2,002",50.0
Saint Albans,2014,1,"2,004",49.9
Biddeford,2018,11,"22,105",49.8
Buckfield,2010,1,"2,009",49.8
Wilton,2017,2,"4,015",49.8
Buckfield,2017,1,"2,014",49.7
Buckfield,2018,1,"2,014",49.7
Millinocket,2017,2,"4,038",49.5
Naples,2017,2,"4,040",49.5
Saint Albans,2011,1,"2,021",49.5
Buckfield,2013,1,"2,024",49.4
Orono,2018,5,"10,126",49.4
Dayton,2016,1,"2,039",49.0
Dayton,2017,1,"2,039",49.0
Arundel,2015,2,"4,086",48.9
Arundel,2017,2,"4,110",48.7
Orono,2014,5,"10,272",48.7
Albion,2014,1,"2,057",48.6
Albion,2011,1,"2,061",48.5
Unity,2009,1,"2,063",48.5
Buxton,2015,4,"8,276",48.3
Livermore,2014,1,"2,070",48.3
Bath,2018,4,"8,307",48.2
Auburn,2013,11,"22,851",48.1
Boothbay Harbor,2013,1,"2,078",48.1
Saco,2013,9,"18,699",48.1
Damariscotta,2015,1,"2,085",48.0
Livermore,2016,1,"2,084",48.0
Livermore,2017,1,"2,084",48.0
Livermore,2015,1,"2,087",47.9
Yarmouth,2010,4,"8,349",47.9
Livermore,2011,1,"2,094",47.8
Auburn,2010,11,"23,055",47.7
Livermore,2010,1,"2,095",47.7
Oakland,2018,3,"6,293",47.7
Livermore,2012,1,"2,099",47.6
Saco,2015,9,"18,925",47.6
Scarborough,2009,9,"18,923",47.6
Canaan,2008,1,"2,115",47.3
Dayton,2008,1,"2,116",47.3
Unity,2011,1,"2,115",47.3
Unity,2012,1,"2,114",47.3
Saco,2017,9,"19,055",47.2
Albion,2008,1,"2,121",47.1
Sidney,2014,2,"4,253",47.0
Unity,2014,1,"2,128",47.0
Greene,2009,2,"4,313",46.4
Scarborough,2018,9,"19,393",46.4
Mount Desert,2008,1,"2,159",46.3
Orland,2009,1,"2,159",46.3
Bangor,2017,15,"32,559",46.1
Corinna,2014,1,"2,167",46.1
Old Orchard Beach,2017,4,"8,679",46.1
Greene,2015,2,"4,350",46.0
Livermore,2008,1,"2,174",46.0
China,2009,2,"4,388",45.6
Lyman,2008,2,"4,387",45.6
Machias,2009,1,"2,195",45.6
Corinna,2010,1,"2,198",45.5
Greene,2012,2,"4,393",45.5
Portland,2018,31,"68,430",45.3
Biddeford,2017,10,"22,105",45.2
South Portland,2015,12,"26,547",45.2
Fairfield,2011,3,"6,646",45.1
Portland,2013,30,"66,658",45.0
Belfast,2009,3,"6,686",44.9
Eddington,2012,1,"2,233",44.8
Leeds,2009,1,"2,231",44.8
Canaan,2011,1,"2,244",44.6
Eddington,2011,1,"2,245",44.5
Fairfield,2010,3,"6,735",44.5
Portland,2015,30,"67,375",44.5
Waterville,2010,7,"15,722",44.5
Limestone,2014,1,"2,254",44.4
Millinocket,2010,2,"4,506",44.4
Eddington,2013,1,"2,267",44.1
Milo,2017,1,"2,269",44.1
Canaan,2010,1,"2,275",44.0
Madison,2008,2,"4,556",43.9
Westbrook,2016,8,"18,208",43.9
Westbrook,2018,8,"18,208",43.9
Portland,2016,30,"68,430",43.8
Portland,2017,30,"68,430",43.8
Auburn,2015,10,"22,960",43.6
Leeds,2015,1,"2,293",43.6
Topsham,2009,4,"9,165",43.6
Leeds,2018,1,"2,298",43.5
Glenburn,2015,2,"4,618",43.3
Sanford,2010,9,"20,798",43.3
South Portland,2012,11,"25,431",43.3
Hallowell,2014,1,"2,317",43.2
Portland,2014,29,"67,219",43.1
Harpswell,2018,2,"4,649",43.0
Leeds,2010,1,"2,326",43.0
Glenburn,2012,2,"4,667",42.9
Saco,2012,8,"18,680",42.8
Leeds,2013,1,"2,341",42.7
Sanford,2016,9,"21,124",42.6
Old Orchard Beach,2008,4,"9,406",42.5
Biddeford,2009,9,"21,266",42.3
Acton,2008,1,"2,375",42.1
Acton,2009,1,"2,392",41.8
Sabattus,2008,2,"4,808",41.6
Jay,2011,2,"4,833",41.4
Sabattus,2011,2,"4,831",41.4
Lewiston,2013,15,"36,327",41.3
Sabattus,2015,2,"4,862",41.1
South Portland,2008,10,"24,344",41.1
Acton,2010,1,"2,447",40.9
Anson,2018,1,"2,451",40.8
Bucksport,2008,2,"4,909",40.7
Dixfield,2015,1,"2,456",40.7
Dixfield,2016,1,"2,454",40.7
Norway,2015,2,"4,953",40.4
Scarborough,2015,8,"19,793",40.4
Anson,2013,1,"2,489",40.2
South Portland,2009,10,"24,904",40.2
Farmington,2008,3,"7,489",40.1
Norway,2012,2,"4,982",40.1
Dixfield,2011,1,"2,503",40.0
Bangor,2016,13,"32,559",39.9
Anson,2010,1,"2,511",39.8
Lincoln,2018,2,"5,029",39.8
Waterboro,2008,3,"7,579",39.6
Auburn,2008,9,"22,765",39.5
Paris,2015,2,"5,066",39.5
Acton,2014,1,"2,539",39.4
Old Town,2017,3,"7,608",39.4
Paris,2013,2,"5,070",39.4
Auburn,2012,9,"22,886",39.3
Waldoboro,2008,2,"5,092",39.3
Dixfield,2010,1,"2,550",39.2
Acton,2018,1,"2,562",39.0
Waterboro,2010,3,"7,693",39.0
Manchester,2010,1,"2,580",38.8
Harpswell,2008,2,"5,167",38.7
Westbrook,2015,7,"18,076",38.7
Lincoln,2011,2,"5,183",38.6
Paris,2010,2,"5,183",38.6
Waterville,2011,6,"15,583",38.5
Lewiston,2017,14,"36,425",38.4
Mexico,2016,1,"2,606",38.4
Searsport,2013,1,"2,602",38.4
Sanford,2009,8,"20,915",38.3
Bethel,2012,1,"2,621",38.2
Minot,2011,1,"2,619",38.2
Waterville,2012,6,"15,705",38.2
Bethel,2015,1,"2,629",38.0
Bethel,2016,1,"2,636",37.9
Minot,2018,1,"2,642",37.9
Saco,2010,7,"18,482",37.9
Minot,2008,1,"2,643",37.8
Harrison,2009,1,"2,651",37.7
Searsport,2009,1,"2,660",37.6
Blue Hill,2010,1,"2,686",37.2
Shapleigh,2013,1,"2,686",37.2
Searsport,2008,1,"2,699",37.1
Benton,2015,1,"2,708",36.9
Benton,2009,1,"2,719",36.8
Scarborough,2011,7,"19,009",36.8
Westbrook,2008,6,"16,283",36.8
Benton,2012,1,"2,726",36.7
Saco,2016,7,"19,055",36.7
Harrison,2015,1,"2,735",36.6
Bath,2015,3,"8,346",35.9
South Portland,2011,9,"25,037",35.9
Houlton,2017,2,"5,635",35.5
Carmel,2012,1,"2,826",35.4
Hermon,2014,2,"5,678",35.2
Carmel,2018,1,"2,851",35.1
Corinth,2016,1,"2,870",34.8
Calais,2015,1,"2,882",34.7
Old Orchard Beach,2018,3,"8,679",34.6
Portland,2012,23,"66,684",34.5
Westbrook,2010,6,"17,494",34.3
South Portland,2016,9,"26,288",34.2
Westbrook,2012,6,"17,554",34.2
Calais,2017,1,"2,937",34.0
Calais,2018,1,"2,937",34.0
Levant,2015,1,"2,938",34.0
Bangor,2013,11,"32,426",33.9
Levant,2017,1,"2,946",33.9
Levant,2018,1,"2,946",33.9
Corinth,2013,1,"2,962",33.8
Gardiner,2009,2,"5,944",33.6
Mechanic Falls,2015,1,"2,999",33.3
Portland,2011,22,"66,222",33.2
Calais,2011,1,"3,018",33.1
Lewiston,2012,12,"36,369",33.0
Mechanic Falls,2010,1,"3,031",33.0
Lewiston,2018,12,"36,425",32.9
Limerick,2018,1,"3,044",32.9
Mechanic Falls,2018,1,"3,038",32.9
Mechanic Falls,2011,1,"3,048",32.8
Mechanic Falls,2013,1,"3,049",32.8
